DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,bq_rq
FIELD_SHAPES,2,2
FIELD_LABELS,bq,rq
FIELD_COLORS,#ed7e17,#1ba055,
MARGIN,25
HEIGHT_FACTOR,30
SYMBOL_SPACING,25
DATA
GCF001375595,-1,1
GCF000237065,-1,1
GCF000800615,1,1
GCF000590475,1,-1
GCF000745655,-1,1
GCF000731315,-1,1
GCF001679005,1,-1
GCF000186165,1,-1
GCF002073715,1,1
GCF000190695,1,-1
GCF000019845,1,1
GCF000513215,-1,1
GCF002015075,1,1
GCF000158275,1,1
GCF000166055,-1,1
GCF000196355,-1,1
GCF000010185,1,1
GCF000023205,1,1
GCF000785515,1,1
GCF000173915,1,1
GCF001591585,-1,1
GCF000832605,-1,1
GCF000154225,1,1
GCF001044245,1,-1
GCF001418585,-1,1
GCF000164695,1,1
GCF002017865,1,1
GCF000972575,1,-1
GCF001074355,1,-1
GCF000024945,1,1
GCF000266885,-1,1
GCF000611675,-1,1
GCF000015045,-1,1
GCF900112675,-1,1
GCF000159095,1,-1
GCF000307225,1,-1
GCF001553955,1,1
GCF000184745,-1,1
GCF000716715,-1,1
GCF001974985,-1,1
GCF000159115,1,-1
GCF001045675,1,1
GCF000474725,-1,1
GCF002086395,-1,1
GCF001484935,1,1
GCF000072485,-1,1
GCF000023905,1,-1
GCF002208825,1,-1
GCF000011025,1,1
GCF000175375,1,-1
GCF000428885,1,-1
GCF000385925,1,1
GCF000160675,1,1
GCF000160075,1,-1
GCF001866515,1,1
GCF000186425,1,-1
GCF001567585,-1,1
GCF000807925,-1,1
GCF900108595,-1,1
GCF001556675,1,1
GCF000241465,-1,1
GCF000316515,1,-1
GCF000698595,-1,1
GCF000318135,1,-1
GCF000277795,1,1
GCF000017245,1,-1
GCF000745545,-1,1
GCF001275345,-1,1
GCF000144605,1,-1
GCF001552375,-1,1
GCF000688255,1,1
GCF000422305,-1,1
GCF001442535,-1,1
GCF002087015,1,-1
GCF001922385,-1,1
GCF000067205,1,-1
GCF001552075,1,-1
GCF001598435,-1,1
GCF000954135,1,-1
GCF000015725,1,1
GCF000368825,1,1
GCF000379645,-1,1
GCF000162475,1,1
GCF001586215,1,-1
GCF002073635,1,1
GCF000160875,1,-1
GCF001761345,-1,1
GCF000007745,1,-1
GCF000016765,-1,1
GCF900156665,1,1
GCF001054195,1,1
GCF000190755,1,1
GCF000024345,-1,1
GCF000173075,-1,1
GCF000307875,1,1
GCF000020725,-1,1
GCF001606025,1,-1
GCF001637565,1,1
GCF001439915,1,1
GCF000019905,1,-1
GCF000826145,-1,1
GCF000817955,-1,1
GCF900110245,-1,1
GCF000423665,-1,1
GCF000430725,-1,1
GCF900102195,-1,1
GCF000969605,-1,1
GCF000585415,-1,1
GCF000737315,1,1
GCF000711715,-1,1
GCF000970465,-1,1
GCF900094545,-1,1
GCF000770795,-1,1
GCF000511175,1,1
GCF000312425,-1,1
GCF000243115,-1,1
GCF000258495,-1,1
GCF001598235,1,-1
GCF001579945,1,1
GCF900176505,1,-1
GCF000374625,-1,1
GCF000744505,-1,1
GCF000420545,-1,1
GCF002115725,1,1
GCF001270065,-1,1
GCF001553935,1,-1
GCF900112325,-1,1
GCF000620785,-1,1
GCF900187985,1,-1
GCF000745965,-1,1
GCF000016345,1,1
GCF900113485,1,-1
GCF001683355,1,1
GCF900107605,-1,1
GCF001408335,1,-1
GCF900167975,-1,1
GCF000488255,1,-1
GCF900114705,-1,1
GCF000204195,1,1
GCF900188165,-1,1
GCF000385335,1,-1
GCF002116905,-1,1
GCF900129725,-1,1
GCF001457025,-1,1
GCF000384375,1,-1
GCF000238795,1,-1
GCF000740785,-1,1
GCF900112225,1,1
GCF001654455,1,1
GCF000296835,1,-1
GCF900129455,-1,1
GCF002119765,-1,1
GCF900106985,1,-1
GCF002115755,-1,1
GCF900169565,1,1
GCF000816495,1,1
GCF900142985,-1,1
GCF900115755,-1,1
GCF001940285,-1,1
GCF000321025,1,-1
GCF001955715,1,1
GCF001641695,1,1
GCF001293125,1,1
GCF001449115,-1,1
GCF001010945,-1,1
GCF002174125,1,-1
GCF900114285,-1,1
GCF001247745,1,-1
GCF900092335,1,-1
GCF000973625,1,1
GCF001746835,-1,1
GCF900089455,1,-1
GCF900176865,1,1
GCF001708305,1,-1
GCF001998905,1,1
GCF001940525,-1,1
GCF002198715,-1,1
