gcf	phylum
GCF000311765	Proteobacteria
GCF900112245	Bacteroidetes
GCF001853345	Proteobacteria
GCF001894865	Actinobacteria
GCF001708405	Proteobacteria
GCF000411375	Actinobacteria
GCF900172315	Proteobacteria
GCF001294465	Proteobacteria
GCF001292705	Proteobacteria
GCF000017265	Proteobacteria
GCF000260965	Proteobacteria
GCF001816125	not_annotated
GCF900103475	Proteobacteria
GCF900014995	Actinobacteria
GCF000300005	Proteobacteria
GCF900111025	Bacteroidetes
GCF001570905	Actinobacteria
GCF000685215	Proteobacteria
GCF001998765	Firmicutes
GCF000163895	Firmicutes
GCF000349325	Actinobacteria
GCF000384295	Actinobacteria
GCF002005445	Proteobacteria
GCF000745545	Proteobacteria
GCF000269805	Actinobacteria
GCF900177535	Firmicutes
GCF002222655	not_annotated
GCF002198715	not_annotated
GCF000177075	Bacteroidetes
GCF000220525	Bacteroidetes
GCF000597725	Proteobacteria
GCF001955715	Proteobacteria
GCF900142435	Aquificae
GCF000612685	Proteobacteria
GCF000189595	Firmicutes
GCF001551835	Proteobacteria
GCF000960975	Proteobacteria
GCF000831005	Proteobacteria
GCF000513955	Proteobacteria
GCF001044245	Actinobacteria
GCF000721075	Actinobacteria
GCF001431485	Proteobacteria
GCF000423345	Proteobacteria
GCF002005365	Proteobacteria
GCF001975225	Proteobacteria
GCF900107585	Proteobacteria
GCF000069965	Proteobacteria
GCF000416985	Bacteroidetes
GCF000721275	Actinobacteria
GCF000786195	Actinobacteria
GCF001936475	Bacteroidetes
GCF000173075	not_annotated
GCF900104535	Actinobacteria
GCF001675045	Firmicutes
GCF000225445	Proteobacteria
GCF000613445	Bacteroidetes
GCF900113825	Proteobacteria
GCF000154425	Firmicutes
GCF900129455	Actinobacteria
GCF001403735	Proteobacteria
GCF001438845	Firmicutes
GCF900129725	Bacteroidetes
GCF000520995	Bacteroidetes
GCF000188015	Firmicutes
GCF000420645	Proteobacteria
GCF000024385	Actinobacteria
GCF000426625	Fusobacteria
GCF002086795	Actinobacteria
GCF000024945	Firmicutes
GCF001591305	Proteobacteria
GCF000768335	Proteobacteria
GCF001509405	Actinobacteria
GCF001885705	not_annotated
GCF000447205	Proteobacteria
GCF000308715	not_annotated
GCF001650635	Proteobacteria
GCF000519205	Actinobacteria
GCF000005825	Firmicutes
GCF001267945	Proteobacteria
GCF000967305	Proteobacteria
GCF000308275	Firmicutes
GCF000972495	Bacteroidetes
GCF000953735	Proteobacteria
GCF001618955	Proteobacteria
GCF900099975	Actinobacteria
GCF001567585	not_annotated
GCF000484635	Proteobacteria
GCF001482195	Proteobacteria
GCF000473085	Proteobacteria
GCF001598035	Firmicutes
GCF001375515	Firmicutes
GCF000285515	Firmicutes
GCF001890925	Proteobacteria
GCF000802305	Actinobacteria
GCF900110295	Firmicutes
GCF000160075	Firmicutes
GCF000009365	Proteobacteria
GCF000173975	Firmicutes
GCF900111295	Firmicutes
GCF001888055	Proteobacteria
GCF000800395	Deinococcus-Thermus
GCF000828085	not_annotated
GCF001700965	Proteobacteria
GCF900156645	Firmicutes
GCF900110775	Proteobacteria
GCF900128885	Firmicutes
GCF001308285	Firmicutes
GCF001598935	Firmicutes
GCF002086115	Actinobacteria
GCF001074355	Firmicutes
GCF900110245	Bacteroidetes
GCF000023845	Actinobacteria
GCF900166655	Firmicutes
GCF000427095	not_annotated
GCF900166635	Firmicutes
GCF000191725	Firmicutes
GCF900102525	Proteobacteria
GCF000407365	Firmicutes
GCF000725885	Actinobacteria
GCF001244495	Firmicutes
GCF001746755	Proteobacteria
GCF000284035	Actinobacteria
GCF001617625	Proteobacteria
GCF001190745	Proteobacteria
GCF000428465	Proteobacteria
GCF000185145	Bacteroidetes
GCF001629705	Firmicutes
GCF000970345	Proteobacteria
GCF001543145	Firmicutes
GCF000067205	Proteobacteria
GCF000420625	Proteobacteria
GCF001937195	Proteobacteria
GCF002000985	Firmicutes
